App,Url,Logo,Rating,Recommendation,Reviews,Review Link,Price,Small Business Size,Medium Business Size,Large Business Size,Description
Buildium,https://www.softwareadvice.com/au/property/buildium-property-manager-profile/,https://www.softwareadvice.com/au/property/buildium-property-manager-profile/,4.49,226,1450,https://www.softwareadvice.com/au/property/buildium-property-manager-profile/reviews/,1,Yes,Yes,Yes,"Buildium is a cloud-based property management software that enables managers of residential and association properties to take control of every aspect of their business, whether in the office or fully remote, including online rent & payments, vacancy management, maintenance cycles, and accounting.Buildium streamlines the rent cycle with features like tenant and lease tracking, full general ledger accounting, automated rent and fee reminders and on-demand reports. For the property owner, rent collection can be automated; and propertymanagers can receive online payments via Buildium’s tenant portal.Management of the vacancy cycle begins with syndicating vacancies to Buildium’s listing partners (Zillow, Trulia and Craigslist, etc) as well as Buildium’s own free marketing website. When applicants fill out Buildium’s online rental applications, the information is saved instantly to the Buildium tenant database. Buildium also offers tenant screeningservices for background checks.Tenants can use Buildium to make a maintenance request online via the resident portal and they can also submit rentpayments. Property managers can turn requests into work items and assign them to maintenance managers and staff using desktop or mobile apps.Buildium recently added new features such as a Resident Center website & mobile app; Renter’s Insurance offerings for residents; and an updated lease renewals process.Buildium’s tiered-pricing plans do not require a start-up fee or annual contracts."
Yardi Breeze Property Management,https://www.softwareadvice.com/au/property/yardi-breeze-profile/,https://www.softwareadvice.com/au/property/yardi-breeze-profile/,4.11,150,37,https://www.softwareadvice.com/au/property/yardi-breeze-profile/reviews/,1,Yes,Yes,Yes,"Yardi Breeze is property management software built exclusively for small to mid-size businesses. Yardi Breeze offers features such as autocomplete address lookups, data import utility, home screen dashboard, drill-down reporting and built-in live chat support.Since it is fully cloud-based, users can access Yardi Breeze on any device and can also use cameras in smartphones and tablets to capture property photos for online marketing. Residents can use a smartphone to capture photos or videos and attach them to maintenance requests via the integrated resident portal.Online payment processing, prospect screening, resident insurance, and prospect and tenant portals are also offered within Yardi Breeze. Yardi Breeze can manage single family homes, multifamily communities and commercial properties all within the same system.Pricing starts at $1 per unit per month, billed in arrears, with a one-year agreement."
SimplifyEm Property Management Software,https://www.softwareadvice.com/au/property/simplifyem-profile/,https://www.softwareadvice.com/au/property/simplifyem-profile/,4.21,131,102,https://www.softwareadvice.com/au/property/simplifyem-profile/reviews/,1,Yes,Yes,No,"SimplifyEm is a property management software designed to meet the requirements of small and mid-sized landlords and property managers. The web-based solution offers features like property accounting, tenant management, lease tracking, bank reconciliation, maintenance scheduling and vendor management.SimplifyEm's accounting module manages accounts payable and receivable and tracks any recurring charges along with complete transaction history. The solution is also capable of generating monthly statements and exporting the rent records to integrated applications like QuickBooks and Excel.With SimplifyEm, property owners have a better visibility of their occupied and vacant units. The solution offers tools to capture tenant details, monitor insurance, store lease agreements, track deadlines, create invoices, and collect online rent payments. Property owners can send bulk notices or group emails for rent reminders, maintenance alerts, site visits or any other news that need to be shared with all tenants.SimplifyEm is suitable for landlords and property managers of apartments and single-family residential communities with up to 500 units. Since it is a web-based application, users can access SimplifyEm from anywhere, around the clock. The solution comes with a free of cost training and support, available through email and phone calls."
AppFolio Property Manager,https://www.softwareadvice.com/au/property/appfolio-property-manager-profile/,https://www.softwareadvice.com/au/property/appfolio-property-manager-profile/,4.57,75,1579,https://www.softwareadvice.com/au/property/appfolio-property-manager-profile/reviews/,1,Yes,Yes,Yes,"AppFolio provides property management software that allows property managers and owners to market, automate and manage tasks related to their apartments, residential properties, commercial property, student housing or other property.The mobile, all-in-one solution includes features such as online owner and renter portals, online applications and leases, online payments, built-in screening, maintenance requests, mobile inspections, bulk text messaging, accounting and reporting and a mobile app. Using the self service online portal tenants can pay rent securely via an online payment gateway, communicate with the property owner, submit maintenance requests, schedule a property inspection, sign up for renters insurance and more.Capabilities for property owners include vacancy and rent tracking, potential tenant screening, property listings management, cash flow management, landlord insurance tracking, website building, a rent comparison tool, automatic bill posting, paperless work order generation, report customization and more. Landlords and real estate investors can list their rental property using AppFolio and any prospective tenant can submit an online application.Customers receive access to training and help resources, as well as a support team. AppFolio also offers a mobile app which allows property managers to communicate with tenants, carry out inspections, view work orders and more from a mobile device."
Rentec Direct,https://www.softwareadvice.com/au/property/rentec-direct-property-management-profile/,https://www.softwareadvice.com/au/property/rentec-direct-property-management-profile/,4.65,50,175,https://www.softwareadvice.com/au/property/rentec-direct-property-management-profile/reviews/,1,Yes,No,No,"Rentec Direct serves as a web-based, full-featured management system for landlords and property managers that is designed to suit the needs of those managing properties between 25 and 5,000 units. Rentec has no startup fees, no term commitments, and includes unlimited US-based customer service and training.Key features of Rentec Direct include general ledger accounting and financial reporting with optional Quickbooks synchronization; online portals for tenants and owners; a custom website and website hosting to promote your company and properties online; tracking of work orders; automated ACH and credit card payment processing; syndication of vacancy listings; online rental applications; electronic signatures with DocuSign; electronic 1099 filing; utility billing integration; and tenant background screening for credit, criminal, and eviction records.Rentec has strict bank-grade security standards in place to protect client data, including 2-factor authentication, third party security verification, and real-time secure data backup. The software is compatible on Windows and Mac operating systems as well as various mobile devices."
ManageCasa,https://www.softwareadvice.com/au/property/managecasa-profile/,https://www.softwareadvice.com/au/property/managecasa-profile/,5,41,1,https://www.softwareadvice.com/au/property/managecasa-profile/#reviews,1,No,Yes,No,"ManageCasa is an intuitive, interactive, and automated Property Management platform specifically designed for Property Managers, Associations and Landlords seeking an all-encompassing web and mobile approach to increase efficiency and grow their business.On ManageCasa’s core platform, property managers can streamline move-ins, create and store digital lease agreements, collaborate on maintenance tickets and shared files, run all of their essential financial reports and easily share them with rental owners. With an ePayments subscription, they can collect rent and pay vendors directly through the application.With a Customer Marketing Website subscription, property managers can create beautiful integrated websites to market their business and connect with applicants, tenants and owners around the clock. Once onboarded, tenants and rental owners can create and resolve tasks and maintenance tickets, upload and securely store documents, and discuss issues from their own user portals.ManageCasa allows landlords and property managers to take control of every aspect of their business. Pricing is competitive and features a tiered model that is free for up to three properties, so users can try out the software without paying up front. Subscriptions include 24/7 live customer support and access to extensive help center documentation."
PayHOA,https://www.softwareadvice.com/au/property/payhoa-profile/,https://www.softwareadvice.com/au/property/payhoa-profile/,4.29,26,129,https://www.softwareadvice.com/au/property/payhoa-profile/reviews/,4,Yes,Yes,No,"Pay HOA is a cloud-based homeowner association (HOA) solution which assists property managers with rent collection, invoicing and e-filing. Its key features include online payments, survey collection, tenant engagement tracking and unit management.The application allows estate managers to connect with residents and track and resolve maintenance issues. Landlords can use the system to access account history and archive property documents and client messages. Its dashboard can help staff members maintain appointments/calendars and broadcast community events.Pay HOA includes an accounting module which enables accountants to view balance sheet, customize chart of accounts, prepare building budget and generate aging reports. The solution is available on a monthly subscription and support is provided via phone and email."
RealPage,https://www.softwareadvice.com/au/property/realpage-pm-profile/,https://www.softwareadvice.com/au/property/realpage-pm-profile/,4.27,25,94,https://www.softwareadvice.com/au/property/realpage-pm-profile/reviews/,2,Yes,Yes,Yes,"RealPage is a cloud-based property management solution suitable for businesses of any size. Key features include accounting, budgeting, facilities maintenance, purchasing, document management and reporting.RealPage enables users to organize and store electronic records and other digital compliance documents as well as automate service requests and manage asset conditions. The solution includes customizable features, reminders, functions, forms and standard reports.RealPage also offers a resident portal that features automatic notifications, lease renewal and maintenance tickets. The solution also includes budgeting and accounting functionality that includes customization, creation and modification of reports as well as electronic signature, payment approvals, automatic bank reconciliations, central disbursements and allocation tables."
Rent Manager,https://www.softwareadvice.com/au/property/rent-manager-profile/,https://www.softwareadvice.com/au/property/rent-manager-profile/,4.39,24,198,https://www.softwareadvice.com/au/property/rent-manager-profile/reviews/,3,Yes,Yes,Yes,"Rent Manager is a software system for both residential and commercial real estate companies. The financial accounting component of Rent Manager has full integration and includes standard functionality such as a general ledger with accounts receivable and accounts payable, payroll import, budget management and financial reporting.Rent Manager is offered in two versions: an online version and a stand-alone version. The online version includes all the functionality of the stand-alone version, but with differences like automatic updates immediately upon release and bi-hourly data backups operations. The online version can be accessed remotely, and access points can be customized to restrict access to only specific parts of the system if the user chooses to do so.The online version of Rent Manager also includes Web-based modules that are unavailable in the stand-alone version. These include Web access provided to residents, Web access to service managers and mobile admin. The online version has lower up-front costs, as the billing is conducted in the form of a monthly fee. Another key advantage of the online version is technical support where users share their screen with support.The latest version of Rent Manager has been completely re-written to ensure leverage of the latest available technologies, rather than serving simply as an update of older versions. The system has been available since 1982, and has since been released in many newer versions with many improvements."
Propertyware,https://www.softwareadvice.com/au/property/propertyware-profile/,https://www.softwareadvice.com/au/property/propertyware-profile/,3.54,24,161,https://www.softwareadvice.com/au/property/propertyware-profile/reviews/,3,Yes,Yes,Yes,"Propertyware is a cloud-based, end-to-end property management software that helps property managers and operators scale their businesses with several different property types, including mixed portfolios.Propertyware’s platform allows users to post and market vacancies and includes lead-to-lease functionality along with integrated tenant screening. The system also offers tenant and owner portals that allow online payments, cash and accrual accounting, instant access to custom reports and statements, and ability to add custom fields.Propertyware also offers mobile-responsive websites, as well as a leasing and maintenance contact center that includes automated vendor dispatching for emergencies."
